Model,Accuracy,AUC_Score
GradientBoosting,0.9356747841272921,0.9881675318442484
XGBoost,0.9308819249054041,0.9870779345436024
RandomForest,0.9230814009896187,0.9857826135219094
LogisticRegression,0.8506451925875619,0.9477332698325636
