Model,Accuracy,Macro Precision,Macro Recall,Macro F1
XGBoost,0.820025225574852,0.7448289762765834,0.5172146371515443,0.5307275446773223
RandomForest,0.7394974289317939,0.5203660167400427,0.6402602454102696,0.5294198973198201
LogisticRegression,0.628000388085767,0.3906494455808703,0.5267113717349794,0.37181226771619313
